127.0.0.1 - - [04/Feb/2021:10:47:23 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:35 +0530] "GET /NetworkManagement/home.jsp HTTP/1.1" 200 7779
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:36 +0530] "GET /NetworkManagement/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:36 +0530] "GET /NetworkManagement/vendor/jquery-ui/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:36 +0530] "GET /NetworkManagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:36 +0530] "GET /NetworkManagement/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:37 +0530] "GET /NetworkManagement/vendor/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:37 +0530] "GET /NetworkManagement/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:38 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-300.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:38 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-300italic.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:39 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:39 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-italic.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:39 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-500.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:39 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-500italic.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:39 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-600.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:39 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-700.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:39 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-700italic.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:39 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-800.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:39 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-800italic.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:39 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:47:40 +0530] "GET /NetworkManagement/images/cyber-3400789_1920.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:48:10 +0530] "GET /NetworkManagement/home.jsp HTTP/1.1" 200 7779
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:48:11 +0530] "GET /NetworkManagement/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:48:11 +0530] "GET /NetworkManagement/vendor/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 253668
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:48:11 +0530] "GET /NetworkManagement/vendor/jquery/jquery.min.js HTTP/1.1" 200 86929
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:48:11 +0530] "GET /NetworkManagement/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:48:11 +0530] "GET /NetworkManagement/css/style.css HTTP/1.1" 200 14572
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:48:11 +0530] "GET /NetworkManagement/vendor/jquery-ui/jquery-ui.min.css HTTP/1.1" 200 30747
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:48:12 +0530] "GET /NetworkManagement/images/cyber-3400789_1920.jpg HTTP/1.1" 200 230701
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:48:13 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-500.woff2 HTTP/1.1" 200 7884
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:48:13 +0530] "GET /NetworkManagement/fonts/poppins/poppins-v5-latin-600.woff2 HTTP/1.1" 200 7812
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:48:14 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [04/Feb/2021:10:48:21 +0530] "GET /NetworkManagement/PingCmd?pingurl=&options1=&tracerturl=&options2=&nslookupurl=&options3=&pathpingurl=&options4=&options5=&command=ipconfig&options6=&options7= HTTP/1.1" 302 -
